ID_Cuenta,Nombre,Area,Estado_Envio,Presupuesto_Solicitado
1000,Pensión Obligatoria - 828,Auditoría,En Revisión,184860993
1001,Licencias - 336,Finanzas,En Revisión,270117048
1002,Inversión - 837,Servicio al Cliente,En Revisión,86509401
1003,Inversión - 357,Tecnología,Pendiente,189311092
1004,Pensión Obligatoria - 511,Servicio al Cliente,Rechazado,122175692
1005,Fondo Voluntario - 304,Finanzas,En Revisión,24911914
1006,Infraestructura - 583,Comercial,Enviado,49930504
1007,Fondo Voluntario - 595,Riesgos,Pendiente,212294348
1008,Fondo Voluntario - 267,Finanzas,Pendiente,315738559
1009,Pensión Obligatoria - 610,Finanzas,Enviado,92412794
1010,Inversión - 823,Auditoría,Rechazado,271202552
1011,Nómina - 207,Recursos Humanos,Rechazado,108187109
1012,Infraestructura - 511,Tecnología,Rechazado,341390112
1013,Pensión Obligatoria - 794,Riesgos,Pendiente,393424929
1014,Infraestructura - 655,Auditoría,Pendiente,8730444
1015,Nómina - 930,Finanzas,Rechazado,206006930
1016,Infraestructura - 961,Legal,En Revisión,466058811
1017,Fondo Voluntario - 463,Marketing,Pendiente,89646872
1018,Infraestructura - 673,Auditoría,En Revisión,156109283
1019,Cesantías - 940,Legal,Rechazado,219868635
1020,Licencias - 172,Auditoría,Enviado,208597581
1021,Pensión Obligatoria - 961,Servicio al Cliente,Pendiente,74452964
1022,Inversión - 314,Tecnología,Rechazado,157665195
1023,Infraestructura - 509,Servicio al Cliente,Enviado,403507618
1024,Licencias - 972,Tecnología,Pendiente,45696974
1025,Inversión - 615,Tecnología,Rechazado,322046749
1026,Licencias - 809,Riesgos,Rechazado,332176360
1027,Cesantías - 231,Finanzas,Pendiente,474172767
1028,Nómina - 198,Marketing,Enviado,465680094
1029,Cesantías - 984,Marketing,Enviado,72067802
1030,Infraestructura - 749,Legal,Rechazado,193364229
1031,Nómina - 528,Tecnología,Pendiente,193033164
1032,Licencias - 541,Legal,Pendiente,276005532
1033,Nómina - 836,Recursos Humanos,En Revisión,197305982
1034,Cesantías - 754,Finanzas,En Revisión,344273575
1035,Inversión - 269,Comercial,Pendiente,49337138
1036,Inversión - 599,Operaciones,Rechazado,35260400
1037,Licencias - 503,Operaciones,En Revisión,402697716
1038,Pensión Obligatoria - 736,Finanzas,Rechazado,247612890
1039,Licencias - 668,Riesgos,Rechazado,420134889
1040,Nómina - 877,Recursos Humanos,En Revisión,286308638
1041,Fondo Voluntario - 938,Tecnología,Pendiente,378090005
1042,Nómina - 450,Marketing,Enviado,43864618
1043,Cesantías - 927,Legal,Rechazado,45360199
1044,Nómina - 407,Legal,En Revisión,242595999
1045,Licencias - 226,Finanzas,En Revisión,16033060
1046,Fondo Voluntario - 464,Operaciones,Rechazado,15372511
1047,Licencias - 281,Marketing,En Revisión,318150471
1048,Nómina - 239,Comercial,Pendiente,250262789
